 21  |  MESSIER87      | 187.70593 |  12.39113 | 0.79      |  152.9     |  10.37     |  5.32      | 0.01      | 6.88      | 5.46       | 0.01       | 1.86      | 5.14      | 0.01      | 1.86       | 3.84      | 0.02          | -0.14     | 0.02    | 0.32    |  0.02
 22  |  NGC3628        | 170.07085 |  13.58912 | 0.23      |  105.1     |  10.20     |  5.76      | 0.01      | 8.24      | 5.64       | 0.01       | 8.24      | 2.44      | 0.01      | 8.24       | 0.51      | 0.01          |  0.12     | 0.02    | 3.20    |  0.02
 23  |  NGC0300        |  13.72251 | -37.68413 | 0.77      |  123.2     |  10.03     |  5.73      | 0.01      | 10.03     | 5.73       | 0.01       | 10.03     | 3.13      | 0.01      | 10.03      | 1.28      | 0.02          |  0.00     | 0.02    | 2.60    |  0.02
 24  |  NGC4736        | 192.72110 |  41.12020 | 0.89      |  105.6     |  9.64      |  4.77      | 0.01      | 7.19      | 4.78       | 0.01       | 7.19      | 2.03      | 0.01      | 7.19       | 0.32      | 0.01          | -0.01     | 0.02    | 2.75    |  0.02
 25  |  NGC6822        | 296.24115 | -14.80224 | 0.82      |  20.5      |  9.53      |  5.80      | 0.01      | 9.53      | 5.80       | 0.01       | 9.53      | 3.50      | 0.01      | 9.53       | 1.20      | 0.02          |  0.00     | 0.02    | 2.30    |  0.02
 26  |  NGC1532        |  63.01807 | -32.87421 | 0.24      |  32.2      |  9.44      |  6.43      | 0.01      | 7.40      | 6.41       | 0.01       | 7.40      | 3.61      | 0.01      | 7.40       | 2.00      | 0.01          |  0.02     | 0.02    | 2.80    |  0.02
 27  |  NGC5236        | 204.25296 | -29.86598 | 0.95      |  161.4     |  9.33      |  4.24      | 0.01      | 9.33      | 4.12       | 0.01       | 9.33      | 0.32      | 0.01      | 9.33       | -1.86     | 0.01          |  0.12     | 0.02    | 3.80    |  0.02
 28  |  NGC0147        |   8.30052 |  48.50901 | 0.57      |  28.7      |  9.28      |  6.57      | 0.01      | 7.52      | 6.69       | 0.01       | 7.52      | 4.84      | 0.01      | null       | null      | null          | -0.12     | 0.02    | 1.85    |  0.02
 29  |  NGC6744        | 287.44211 | -63.85751 | 0.70      |  11.9      |  9.14      |  5.49      | 0.01      | 9.14      | 5.47       | 0.01       | 9.14      | 2.27      | 0.01      | 9.14       | 0.68      | 0.01          |  0.02     | 0.02    | 3.20    |  0.02
 30  |  MESSIER63      | 198.95549 |  42.02931 | 0.60      |  103.4     |  8.73      |  5.26      | 0.01      | 8.73      | 5.20       | 0.01       | 8.73      | 1.88      | 0.01      | 8.73       | 0.25      | 0.01          |  0.06     | 0.02    | 3.32    |  0.02
 31  |  NGC1553        |  64.04361 | -55.78003 | 0.79      |  153.1     |  8.70      |  5.89      | 0.01      | 6.21      | 6.00       | 0.01       | 2.25      | 5.38      | 0.01      | 2.25       | 4.27      | 0.02          | -0.11     | 0.02    | 0.62    |  0.02
 32  |  NGC1399        |  54.62093 | -35.45040 | 0.85      |  78.0      |  8.66      |  5.82      | 0.01      | 6.73      | 5.94       | 0.01       | 2.05      | 5.71      | 0.01      | 2.05       | 4.86      | 0.04          | -0.12     | 0.02    | 0.23    |  0.02
 33  |  NGC4236        | 184.17477 |  69.46757 | 0.30      |  158.0     |  8.66      |  7.91      | 0.01      | 8.66      | 7.99       | 0.01       | 8.66      | 5.97      | 0.02      | 8.66       | 3.09      | 0.03          | -0.08     | 0.02    | 2.02    |  0.03
 34  |  NGC4565        | 189.08658 |  25.98755 | 0.19      |  136.3     |  8.54      |  5.76      | 0.01      | 8.54      | 5.71       | 0.01       | 8.54      | 3.21      | 0.01      | 8.54       | 1.66      | 0.01          |  0.05     | 0.02    | 2.50    |  0.02
 35  |  Maffei2        |  40.47926 |  59.60422 | 0.44      |  27.7      |  8.50      |  4.76      | 0.01      | 8.50      | 4.58       | 0.01       | 8.50      | 1.07      | 0.01      | 8.50       | -1.03     | 0.01          |  0.18     | 0.02    | 3.51    |  0.02
